,utc_event_time,utc_event_date,user_id,city_name,ecom_event_action,ecom_id,ecom_brand,ecom_variant,ecom_currency,ecom_price100,ecom_qty,ecom_grand_total100,os_manufacturer,device_type,traffic_src_kind,app_version,net_type,locale
0,2021-10-01 19:40:22,2021-10-01,11090758688966051676,Могилёв,add_to_cart,BEFC96A9D6DEA3A9817BC5E5157B0A1C,6B0630D20C913739C8164D8208A1B13D,3B9A6121A509CBADC049AEABD3ED0223,RUB,[248500],[1],[248500],Xiaomi,smartphone,mobile,4.3.4000,Wi-Fi,ru
1,2021-10-01 07:50:59,2021-10-01,12487687213536341095,Самара,view_item,97F9B1135CF24F4CFFF4664435AEC2B9,FA74FF059207A1569295D3E83CA88E53,3B9A6121A509CBADC049AEABD3ED0223,RUB,[75400],[1],[75400],samsung,smartphone,mobile,4.2.7000,3G,ru
2,2021-10-02 11:51:12,2021-10-02,12487687213536341095,Самара,view_item,97F9B1135CF24F4CFFF4664435AEC2B9,FA74FF059207A1569295D3E83CA88E53,3B9A6121A509CBADC049AEABD3ED0223,RUB,[74500],[1],[74500],samsung,smartphone,mobile,4.2.7000,3G,ru
3,2021-10-03 15:06:38,2021-10-03,10383386994170804641,Москва,view_item,7D9A98C6E8BF033613B74252D9D24B33,681425F1391C8CA4026B28066C7B3B4A,3B9A6121A509CBADC049AEABD3ED0223,RUB,[131900],[1],[131900],samsung,smartphone,mobile,4.3.1003,4G,ru
4,2021-10-21 19:43:45,2021-10-21,12954672620163632510,Москва,remove_from_cart,B0270133170E1B886F4FA77B7E1F0EB9,7921BD71B70D139454324A845115B9E3,50D05F0ABB80F2B62C5F67F057E88D5F,RUB,[1077100],[1],[1077100],samsung,smartphone,mobile,4.3.5000,Wi-Fi,ru
5,2021-10-21 14:10:04,2021-10-21,11768141921775821305,Екатеринбург,view_item,B0270133170E1B886F4FA77B7E1F0EB9,7921BD71B70D139454324A845115B9E3,3B9A6121A509CBADC049AEABD3ED0223,RUB,[1077100],[1],[1077100],HUAWEI,smartphone,mobile,4.3.4000,4G,ru
6,2021-10-21 18:23:48,2021-10-21,10768981052427043724,Ивантеевка,view_item,A6FC1D41C2A36CD6ED1428BC40991F3A,CBC88053A1619544EB9FEDAD72FAF8E6DF71A09C7DDFDE736B9BB593C18B21B2,3B9A6121A509CBADC049AEABD3ED0223,RUB,[19600],[1],[19600],Xiaomi,smartphone,mobile,4.3.4000,Wi-Fi,ru
7,2021-10-21 17:50:51,2021-10-21,12106880755048145242,Глазов,view_item,02C451A73FDD41CDD05F1E33E4BC60FC,400A5E6FAFF295AFD248524088D84BF2,3B9A6121A509CBADC049AEABD3ED0223,RUB,[188200],[1],[188200],realme,smartphone,mobile,4.3.5000,Wi-Fi,ru
8,2021-10-21 17:10:14,2021-10-21,12353128122888828161,Шёлково,view_item,8360E6D158AEBD26BBBE835C38F88748,54C53BB4CEB1938D929A930E4FFC4BE5,3B9A6121A509CBADC049AEABD3ED0223,RUB,[1255300],[1],[1255300],Xiaomi,smartphone,mobile,4.3.4000,Wi-Fi,ru
9,2021-10-21 14:22:09,2021-10-21,11714982470571257821,Кишинёв,view_item,A6FC1D41C2A36CD6ED1428BC40991F3A,CBC88053A1619544EB9FEDAD72FAF8E6DF71A09C7DDFDE736B9BB593C18B21B2,3B9A6121A509CBADC049AEABD3ED0223,RUB,[19600],[1],[19600],Xiaomi,smartphone,mobile,4.3.4000,4G,ru
10,2021-10-18 15:55:00,2021-10-18,10906334017708783577,Краснодар,view_item,B145F002859D43DAB3C642ABD144EBD6,BFB61B83F1DB363D5F07DDEF8E522AE6,3B9A6121A509CBADC049AEABD3ED0223,RUB,[90800],[1],[90800],samsung,smartphone,mobile,4.3.4000,3G,ru
11,2021-10-18 12:29:41,2021-10-18,13787937431535369099,Москва,view_item,B0270133170E1B886F4FA77B7E1F0EB9,7921BD71B70D139454324A845115B9E3,3B9A6121A509CBADC049AEABD3ED0223,RUB,[1199200],[1],[1199200],Xiaomi,smartphone,mobile,4.3.5000,4G,ru
12,2021-10-18 12:36:02,2021-10-18,13787937431535369099,Москва,view_item,8360E6D158AEBD26BBBE835C38F88748,54C53BB4CEB1938D929A930E4FFC4BE5,3B9A6121A509CBADC049AEABD3ED0223,RUB,[1420900],[1],[1420900],Xiaomi,smartphone,mobile,4.3.5000,4G,ru
13,2021-10-18 17:32:39,2021-10-18,11991738970210767285,Самара,view_item,A6FC1D41C2A36CD6ED1428BC40991F3A,CBC88053A1619544EB9FEDAD72FAF8E6DF71A09C7DDFDE736B9BB593C18B21B2,3B9A6121A509CBADC049AEABD3ED0223,RUB,[18400],[1],[18400],HUAWEI,smartphone,mobile,4.3.4000-huawei,Wi-Fi,ru
14,2021-10-18 17:32:50,2021-10-18,11991738970210767285,Самара,add_to_cart,A6FC1D41C2A36CD6ED1428BC40991F3A,CBC88053A1619544EB9FEDAD72FAF8E6DF71A09C7DDFDE736B9BB593C18B21B2,9F77F204D085EF8AF0CE9B8B7CD039E6223001D3949868452869FA368DAF7E07,RUB,[18400],[1],[18400],HUAWEI,smartphone,mobile,4.3.4000-huawei,Wi-Fi,ru
15,2021-10-18 14:09:10,2021-10-18,9328690051271562038,Барнаул,view_item,C1506A9C4FBD8AD89DA9FA0CC6616566,070656FCFE23C77CB6BF347DE5C0ABF45C12E10D018AD44A9FCFD9E8C4A1D497,3B9A6121A509CBADC049AEABD3ED0223,RUB,[43200],[1],[43200],Sony,smartphone,mobile,4.3.4000,4G,ru
16,2021-10-18 14:10:13,2021-10-18,9328690051271562038,Барнаул,add_to_cart,C1506A9C4FBD8AD89DA9FA0CC6616566,070656FCFE23C77CB6BF347DE5C0ABF45C12E10D018AD44A9FCFD9E8C4A1D497,3B9A6121A509CBADC049AEABD3ED0223,RUB,[43200],[1],[43200],Sony,smartphone,mobile,4.3.4000,4G,ru
17,2021-10-18 19:56:28,2021-10-18,13656683164101474422,Москва,view_item,A6FC1D41C2A36CD6ED1428BC40991F3A,CBC88053A1619544EB9FEDAD72FAF8E6DF71A09C7DDFDE736B9BB593C18B21B2,3B9A6121A509CBADC049AEABD3ED0223,RUB,[18400],[1],[18400],samsung,smartphone,mobile,4.2.7000,4G,ru
18,2021-10-18 19:41:36,2021-10-18,11855552861074095928,,view_item,A6FC1D41C2A36CD6ED1428BC40991F3A,CBC88053A1619544EB9FEDAD72FAF8E6DF71A09C7DDFDE736B9BB593C18B21B2,3B9A6121A509CBADC049AEABD3ED0223,RUB,[18400],[1],[18400],samsung,smartphone,mobile,4.3.5000,Wi-Fi,ru
19,2021-10-18 20:41:43,2021-10-18,10319198710445203112,Москва,view_item,97F9B1135CF24F4CFFF4664435AEC2B9,FA74FF059207A1569295D3E83CA88E53,3B9A6121A509CBADC049AEABD3ED0223,RUB,[75700],[1],[75700],HUAWEI,smartphone,mobile,4.3.4000,4G,ru
20,2021-10-18 02:31:22,2021-10-18,11207371384939010571,Екатеринбург,view_item,8360E6D158AEBD26BBBE835C38F88748,54C53BB4CEB1938D929A930E4FFC4BE5,3B9A6121A509CBADC049AEABD3ED0223,RUB,[1869000],[1],[1869000],Xiaomi,smartphone,mobile,4.3.5000,Wi-Fi,ru
21,2021-10-18 04:50:39,2021-10-18,11733732444315929535,Пушкино,view_item,6D88AAEEAB611F290D931ACCC12045CB,23CDBF92BEA6943A905B5ECFB6D5BC11,3B9A6121A509CBADC049AEABD3ED0223,RUB,[64000],[1],[64000],Xiaomi,smartphone,mobile,4.3.5000,Wi-Fi,ru
22,2021-10-04 20:25:04,2021-10-04,10381105625345986153,Мозырь,view_item,BDBD23C5359EF7B3F85763C032892B85,0B1BC368C77D7A9B58F26B087958C231,3B9A6121A509CBADC049AEABD3ED0223,RUB,[2483000],[1],[2483000],HUAWEI,smartphone,mobile,4.2.9000-huawei,4G,ru
23,2021-10-21 12:01:46,2021-10-21,12662442135838737321,Екатеринбург,add_to_cart,9EC302050B63C90533F9FFBCAC489DD8,A045311D713A9F98D5DBEE79D58CF7F806A50A1B0F92C335848352B0D29A01256808A940C4E5EDA15EFBACDC5695F4EE,CAF61C53BEE78E3B8839DC810B0BEEDF8E31401631322CB39BF937C482080F30,RUB,[17700],[1],[17700],Xiaomi,smartphone,mobile,4.3.5000,4G,ru
24,2021-10-21 12:01:51,2021-10-21,12662442135838737321,Екатеринбург,add_to_cart,CCA4ECBE394A68CEC17D0EAE756F3EC2,A045311D713A9F98D5DBEE79D58CF7F806A50A1B0F92C335848352B0D29A01256808A940C4E5EDA15EFBACDC5695F4EE,CC17CB3EE242A53579485FB51F962119,RUB,[23700],[1],[23700],Xiaomi,smartphone,mobile,4.3.5000,4G,ru
25,2021-10-21 17:59:19,2021-10-21,12662442135838737321,Екатеринбург,add_to_cart,9EC302050B63C90533F9FFBCAC489DD8,A045311D713A9F98D5DBEE79D58CF7F806A50A1B0F92C335848352B0D29A01256808A940C4E5EDA15EFBACDC5695F4EE,77544CB78DD75439AC036C9EA66445A6,RUB,[17700],[1],[17700],Xiaomi,smartphone,mobile,4.3.5000,4G,ru
26,2021-10-21 14:18:19,2021-10-21,10347310149703647621,Краснодар,view_item,8360E6D158AEBD26BBBE835C38F88748,54C53BB4CEB1938D929A930E4FFC4BE5,3B9A6121A509CBADC049AEABD3ED0223,RUB,[1268800],[1],[1268800],Xiaomi,smartphone,mobile,4.2.8000,4G,ru
27,2021-10-21 18:02:37,2021-10-21,11090624268800355002,Новый Уренгой,view_item,8360E6D158AEBD26BBBE835C38F88748,54C53BB4CEB1938D929A930E4FFC4BE5,3B9A6121A509CBADC049AEABD3ED0223,RUB,[1255300],[1],[1255300],HUAWEI,smartphone,mobile,4.3.5000,Wi-Fi,ru
